LG19 10
 5 3.4 2.5 -1.001
 6.1 3.53 2.74 13.8797
 6.5 3.71 2.83 15.7207
 6.9 3.93 2.92 13.9623
 8.2 4.55 3.37 0
MF10 10
 2.5 1 2.5 -1.00784
 3 1.5 2.5 -1.40505
 3.5 1.7 2.5 0.421533
 3.1 1.5 2.5 -1.001
 3.3 1.6 2.5 -1.001
 5 3.4 2.5 -1.001
 6.1 3.53 2.74 14.2876
 6.5 3.71 2.83 15.7582
 6.9 3.93 2.92 14.0013
 8.2 4.55 3.37 0
MF08 10
 2.5 1 2.5 -1.02258
 3 1.5 2.5 -1.37399
 3.5 1.7 2.5 0.399892
 3.1 1.5 2.5 -1.001
 3.3 1.6 2.5 -1.001
 5 3.4 2.5 -1.001
 6.1 3.53 2.74 14.072
 6.5 3.71 2.83 15.8119
 6.9 3.93 2.92 14.0469
 8.2 4.55 3.37 0
ME09 10
 2.5 1 2.5 -1.02216
 3 1.5 2.5 -1.3364
 3.5 1.7 2.5 0.368754
 3.1 1.5 2.5 -1.001
 3.3 1.6 2.5 -1.001
 5 3.4 2.5 -1.06527
 6.1 3.53 2.74 14.5493
 6.5 3.71 2.83 15.6497
 6.9 3.93 2.92 13.9078
 8.2 4.55 3.37 0
ME07 10
 2.5 1 2.5 -1.04996
 3 1.5 2.5 -1.3836
 3.5 1.7 2.5 0.435911
 3.1 1.5 2.5 -1.001
 3.3 1.6 2.5 -1.001
 5 3.4 2.5 -1.001
 6.1 3.53 2.74 14.1847
 6.5 3.71 2.83 15.8015
 6.9 3.93 2.92 14.0405
 8.2 4.55 3.37 0
MF14 10
 2.5 1 2.5 -1.01827
 3 1.5 2.5 -1.75887
 3.5 1.7 2.5 0.80321
 3.1 1.5 2.5 -1.001
 3.3 1.6 2.5 -1.00269
 5 3.4 2.5 -1.29756
 6.1 3.53 2.74 15.0798
 6.5 3.71 2.83 15.3633
 6.9 3.93 2.92 13.6564
 8.2 4.55 3.37 0
MG03 10
 2.5 1 2.5 -1.06999
 3 1.5 2.5 -1.33034
 3.5 1.7 2.5 0.402328
 3.1 1.5 2.5 -1.001
 3.3 1.6 2.5 -1.001
 5 3.4 2.5 -1.001
 6.1 3.53 2.74 13.8105
 6.5 3.71 2.83 15.5819
 6.9 3.93 2.92 13.8406
 8.26 4.58 3.4 0
MD08 10
 2.5 1 2.5 -1.08132
 3 1.5 2.5 -1.58858
 3.5 1.7 2.5 0.672691
 3.1 1.5 2.5 -1.001
 3.3 1.6 2.5 -1.001
 5 3.4 2.5 -1.001
 6.1 3.53 2.74 14.3423
 6.5 3.71 2.83 15.8233
 6.9 3.93 2.92 14.0628
 8.15 4.52 3.36 0
MG15 10
 2.5 1 2.5 -1.0471
 3 1.5 2.5 -2.40985
 3.5 1.7 2.5 1.49681
 3.1 1.5 2.5 -1.001
 3.3 1.6 2.5 -1.001
 5 3.4 2.5 -1.001
 6.1 3.53 2.74 14.8921
 6.5 3.71 2.83 15.1736
 6.9 3.93 2.92 13.4912
 8.2 4.55 3.37 0
MG15A 10
 2.5 1 2.5 -1.04885
 3 1.5 2.5 -2.5721
 3.5 1.7 2.5 1.66326
 3.1 1.5 2.5 -1.001
 3.3 1.6 2.5 -1.001
 5 3.4 2.5 -1.001
 6.1 3.53 2.74 14.9203
 6.5 3.71 2.83 15.1562
 6.9 3.93 2.92 13.476
 8.2 4.55 3.37 0
MF04 10
 2.5 1 2.5 -1.06686
 3 1.5 2.5 -1.43864
 3.5 1.7 2.5 0.5075
 3.1 1.5 2.5 -1.001
 3.3 1.6 2.5 -1.001
 5 3.4 2.5 -1.001
 6.1 3.53 2.74 13.8993
 6.5 3.71 2.83 15.6093
 6.9 3.93 2.92 13.8673
 8.26 4.58 3.4 0
MF02 10
 2.5 1 2.5 -1.0763
 3 1.5 2.5 -1.5055
 3.5 1.7 2.5 0.583809
 3.1 1.5 2.5 -1.001
 3.3 1.6 2.5 -1.001
 5 3.4 2.5 -1.001
 6.1 3.53 2.74 13.7793
 6.5 3.71 2.83 15.4667
 6.9 3.93 2.92 13.7412
 8.26 4.58 3.4 0
ME01 10
 2.5 1 2.5 -1.07505
 3 1.5 2.5 -1.6435
 3.5 1.7 2.5 0.720654
 3.1 1.5 2.5 -1.001
