LG19 25
 4.235 2.126 2.59 3
 6.287 3.633 2.777 3
 6.296 3.638 2.778 4
 6.496 3.757 2.845 5
 6.406 3.705 2.832 7
 7.04 4.165 3.132 9
 6.903 4.086 3.115 9
 6.893 4.079 3.113 3.209
 8.018 4.464 3.337 16.791
 8.257 4.604 3.368 10
 8.409 4.695 3.447 10
 8.392 4.688 3.445 10
 8.229 4.597 3.424 20
 8.026 4.485 3.396 20
 7.928 4.401 3.377 20
 7.941 4.38 3.471 20
 8.061 4.421 3.48 20
 8.209 4.48 3.492 20
 8.348 4.546 3.502 20
 8.459 4.602 3.507 20
 8.579 4.661 3.608 30
 8.681 4.709 3.607 30
 8.839 4.781 3.604 50
 9.034 4.872 3.749 50
 9.383 5.085 3.748 50
LE11 25
 4.147 2.076 2.571 3
 6.189 3.577 2.764 3
 6.184 3.575 2.763 4
 6.38 3.689 2.83 5
 6.322 3.657 2.822 7
 7.028 4.159 3.131 9
 6.978 4.129 3.124 9
 7.017 4.152 3.129 8.959
 8.117 4.523 3.349 11.041
 8.278 4.617 3.37 10
 8.387 4.684 3.444 10
 8.394 4.689 3.445 10
 8.317 4.648 3.435 20
 8.183 4.576 3.418 20
 8.101 4.502 3.4 20
 8.08 4.461 3.49 20
 8.133 4.462 3.489 20
 8.206 4.478 3.492 20
 8.294 4.514 3.495 20
 8.374 4.552 3.494 20
 8.487 4.608 3.596 30
 8.6 4.662 3.596 30
 8.782 4.749 3.597 50
 9.008 4.857 3.747 50
 9.378 5.081 3.748 50
LD10 25
 4.147 2.076 2.571 3
 6.189 3.577 2.764 3
 6.184 3.575 2.763 4
 6.38 3.689 2.83 5
 6.322 3.657 2.822 7
 7.028 4.159 3.131 9
 6.978 4.129 3.124 9
 7.017 4.152 3.129 8.959
 8.117 4.523 3.349 11.041
 8.278 4.617 3.37 10
 8.387 4.684 3.444 10
 8.394 4.689 3.445 10
 8.317 4.648 3.435 20
 8.183 4.576 3.418 20
 8.101 4.502 3.4 20
 8.08 4.461 3.49 20
 8.133 4.462 3.489 20
 8.206 4.478 3.492 20
 8.294 4.514 3.495 20
 8.374 4.552 3.494 20
 8.487 4.608 3.596 30
 8.6 4.662 3.596 30
 8.782 4.749 3.597 50
 9.008 4.857 3.747 50
 9.378 5.081 3.748 50
LD12 25
 4.18 2.095 2.579 3
 6.221 3.596 2.768 3
 6.214 3.592 2.767 4
 6.404 3.704 2.832 5
 6.326 3.66 2.823 7
 7.007 4.147 3.128 9
 6.936 4.105 3.119 9
 6.969 4.125 3.122 8.773
 8.094 4.508 3.347 11.227
 8.277 4.617 3.37 10
 8.399 4.692 3.446 10
 8.403 4.695 3.447 10
 8.311 4.645 3.435 20
 8.161 4.564 3.414 20
 8.074 4.486 3.395 20
 8.059 4.45 3.486 20
 8.127 4.461 3.489 20
