LG19 8
 6.5 3.5 2.75 1.13062
 6 3.3 2.6 0.109242
 5.5 3.2 2.65 0.127679
 6.2 3.5 2.8 0
LE21 8
 5.5 2.7 2.65 1.46338
 3.3 1.9 2.4 0.0552104
 5 2.7 2.65 0.55826
 5 2.2 2.65 0.0498016
 6.5 3.5 2.75 1.4086
 6 3.3 2.6 0.207248
 5.5 3.2 2.65 0.170757
 6.2 3.5 2.8 0
LD14 8
 5.5 2.7 2.65 0.688271
 3.3 1.9 2.4 0.00330811
 5 2.7 2.65 0.195013
 5 2.2 2.65 0.0493503
 6.5 3.5 2.75 0.646425
 6 3.3 2.6 0.0351947
 5.5 3.2 2.65 0.0468511
 6.2 3.5 2.8 0
LC15 8
 5.5 2.7 2.65 0.820333
 3.3 1.9 2.4 0.00280463
 5 2.7 2.65 0.168541
 5 2.2 2.65 0.056567
 6.5 3.5 2.75 0.836243
 6 3.3 2.6 0.052927
 5.5 3.2 2.65 0.0788528
 6.2 3.5 2.8 0
LA17 8
 5.5 2.7 2.65 0.841254
 3.3 1.9 2.4 0.0198983
 5 2.7 2.65 0.323228
 5 2.2 2.65 0.050277
 6.5 3.5 2.75 0.859415
 6 3.3 2.6 0.121206
 5.5 3.2 2.65 0.192393
 6.2 3.5 2.8 0
LA19 8
 5.5 2.7 2.65 1.12215
 3.3 1.9 2.4 0.0397886
 5 2.7 2.65 0.337478
 5 2.2 2.65 0.0416412
 6.5 3.5 2.75 0.84551
 6 3.3 2.6 0.204337
 5.5 3.2 2.65 0.244946
 6.2 3.5 2.8 0
LA21 8
 5.5 2.7 2.65 1.28881
 3.3 1.9 2.4 0.0431605
 5 2.7 2.65 0.326735
 5 2.2 2.65 0.0652238
 6.5 3.5 2.75 0.711407
 6 3.3 2.6 0.196026
 5.5 3.2 2.65 0.216929
 6.2 3.5 2.8 0
LB16 8
 5.5 2.7 2.65 0.85441
 3.3 1.9 2.4 0.0183848
 5 2.7 2.65 0.202518
 5 2.2 2.65 0.0578046
 6.5 3.5 2.75 0.87169
 6 3.3 2.6 0.0673949
 5.5 3.2 2.65 0.117186
 6.2 3.5 2.8 0
LB18 8
 5.5 2.7 2.65 1.08883
 3.3 1.9 2.4 0.0274516
 5 2.7 2.65 0.179134
 5 2.2 2.65 0.0707651
 6.5 3.5 2.75 1.06979
 6 3.3 2.6 0.134702
 5.5 3.2 2.65 0.188153
 6.2 3.5 2.8 0
LB20 8
 5.5 2.7 2.65 1.24166
 3.3 1.9 2.4 0.0433931
 5 2.7 2.65 0.308156
 5 2.2 2.65 0.0594377
 6.5 3.5 2.75 1.09213
 6 3.3 2.6 0.195596
 5.5 3.2 2.65 0.205168
 6.2 3.5 2.8 0
LB22 8
 5.5 2.7 2.65 1.38998
 3.3 1.9 2.4 0.0699198
 5 2.7 2.65 0.352609
 5 2.2 2.65 0.0563733
 6.5 3.5 2.75 1.19714
 6 3.3 2.6 0.170209
 5.5 3.2 2.65 0.131473
 6.2 3.5 2.8 0
LC19 8
 5.5 2.7 2.65 1.32631
 3.3 1.9 2.4 0.0388416
 5 2.7 2.65 0.251323
 5 2.2 2.65 0.0586628
 6.5 3.5 2.75 1.21865
 6 3.3 2.6 0.177689
 5.5 3.2 2.65 0.185489
 6.2 3.5 2.8 0
LD20 8
 5.5 2.7 2.65 1.42832
 3.3 1.9 2.4 0.0383553
 5 2.7 2.65 0.357869
 5 2.2 2.65 0.0416266
 6.5 3.5 2.75 1.27596
