-88.3672  38  1
-88.3679  38.0133  1
-88.3699  38.0264  1
-88.3732  38.0392  1
-88.3777  38.0517  1
-88.3835  38.0636  1
-88.3904  38.075  1
-88.3985  38.0855  1
-88.4075  38.0952  1
-88.4175  38.104  1
-88.4283  38.1117  1
-88.4398  38.1183  1
-88.4519  38.1237  1
-88.4645  38.1279  1
-88.4774  38.1308  1
-88.4906  38.1324  1
-88.5039  38.1327  1
-88.5171  38.1316  1
-88.5302  38.1293  1
-88.5429  38.1256  1
-88.5552  38.1207  1
-88.567  38.1146  1
-88.5781  38.1073  1
-88.5884  38.099  1
-88.5979  38.0897  1
-88.6064  38.0794  1
-88.6138  38.0684  1
-88.62  38.0567  1
-88.6251  38.0445  1
-88.6289  38.0318  1
-88.6314  38.0187  1
-88.6326  38.0055  1
-88.6325  37.9923  1
-88.6311  37.9791  1
-88.6283  37.9661  1
-88.6243  37.9534  1
-88.619  37.9413  1
-88.6126  37.9297  1
-88.605  37.9188  1
-88.5964  37.9087  1
-88.5868  37.8995  1
-88.5763  37.8914  1
-88.5651  37.8843  1
-88.5532  37.8784  1
-88.5408  37.8737  1
-88.528  37.8702  1
-88.5149  37.8681  1
-88.5016  37.8673  1
-88.4884  37.8678  1
-88.4752  37.8696  1
-88.4623  37.8727  1
-88.4498  37.8771  1
-88.4378  37.8827  1
-88.4264  37.8895  1
-88.4157  37.8974  1
-88.4059  37.9063  1
-88.397  37.9162  1
-88.3892  37.9269  1
-88.3824  37.9383  1
-88.3769  37.9504  1
-88.3725  37.9629  1
-88.3695  37.9758  1
-88.3677  37.989  1
>
-88.3568  38  2
-88.3575  38.0143  2
-88.3596  38.0285  2
-88.3632  38.0423  2
-88.3681  38.0558  2
-88.3743  38.0687  2
-88.3818  38.0809  2
-88.3905  38.0923  2
-88.4002  38.1027  2
-88.411  38.1122  2
-88.4226  38.1205  2
-88.435  38.1276  2
-88.4481  38.1335  2
-88.4617  38.138  2
-88.4757  38.1411  2
-88.4899  38.1428  2
-88.5042  38.1431  2
-88.5185  38.142  2
-88.5325  38.1395  2
-88.5463  38.1355  2
-88.5596  38.1302  2
-88.5723  38.1236  2
-88.5843  38.1158  2
